,Compound,Date,Negative,Neutral,Positive,Tweet_account,text
124,0.0,Sat Jan 06 20:05:17 +0000 2018,1.0,0.0,0.0,@CBS,"rt @debrabirnbaum: .@shawnryantv: to me, being on cbs is the opposite of preaching to the choir. #tca18"
125,0.8271,Sat Jan 06 19:04:08 +0000 2018,0.686,0.0,0.314,@CBS,rt @livinbiblically: “the truth is it somehow gorgeously straddles both sides...i have had friends come from all different walks of life an…
126,-0.7717,Sat Jan 06 19:03:38 +0000 2018,0.774,0.226,0.0,@CBS,rt @instinctcbs: “this is a crime show where at the end you’re not reminded of how miserable things are in the world right now…you feel sat…
127,0.0,Sat Jan 06 00:37:55 +0000 2018,1.0,0.0,0.0,@CBS,"rt @startrekcbs: star trek has touched the lives of generations of fans, including the cast and writers of #startrekdiscovery. what's your…"
128,0.0,Sat Jan 06 00:30:53 +0000 2018,1.0,0.0,0.0,@CBS,#strangeangel has found its leading man! jack reynor will star as famed rocket engineer jack parsons in the upcomin… https://t.co/shkskabgfd
129,0.0,Fri Jan 05 18:30:42 +0000 2018,1.0,0.0,0.0,@CBS,"the streak of new episodes continues! watch new episodes of #macgyver, #h50 &amp; #bluebloods tonight starting at 8/7c.… https://t.co/xs2vbvqbjz"
130,0.0,Fri Jan 05 16:05:58 +0000 2018,1.0,0.0,0.0,@CBS,"rt @cbstweet: #cbsratingsnews: cbs sweeps fourth quarter ratings in daytime, primetime and late night for the first time since 2009 https:/…"
131,0.1867,Thu Jan 04 23:13:02 +0000 2018,0.89,0.0,0.11,@CBS,"new year, new episodes! don't miss all-new episodes of @bigbangtheory, @youngsheldon, @momcbs, @lifeinpiecescbs, an… https://t.co/cof6qg8mz1"
132,-0.296,Thu Jan 04 14:43:09 +0000 2018,0.879,0.121,0.0,@CBS,"current nominees @ladygaga, @littlebigtown, @pink, childish gambino and more will perform live at the #grammys, jan… https://t.co/pllmasnpwd"
133,0.5423,Wed Jan 03 20:33:09 +0000 2018,0.821,0.0,0.179,@CBS,"rt @startrekcbs: from airiam to zefram cochrane, #startrekdiscovery features fascinating new concepts along with classic references. what's…"
134,-0.5267,Wed Jan 03 19:51:15 +0000 2018,0.833,0.167,0.0,@CBS,torres and bishop went undercover as a criminal couple on the latest episode of #ncis. catch up now:… https://t.co/1itenehyjs
135,0.5423,Wed Jan 03 15:00:05 +0000 2018,0.857,0.0,0.143,@CBS,do you know all the nominees for artist of the year? get familiar with this year's grammy® award nominees ahead of… https://t.co/uqa8mu9puv
136,0.0,Wed Jan 03 12:00:01 +0000 2018,1.0,0.0,0.0,@CBS,"the new year of new episodes continues tonight with all-new episodes of #amazingrace, #sealteam and #criminalminds… https://t.co/bwhnhqgsfc"
137,-0.7692,Wed Jan 03 00:47:26 +0000 2018,0.733,0.267,0.0,@CBS,"rt @bullcbs: tonight, can #bull prove that a teen accused of robbing a jewelry store isn't responsible for the crime? tune in at 9/8c or st…"
138,0.8516,Tue Jan 02 22:41:51 +0000 2018,0.66,0.0,0.34,@CBS,it's your last chance to choose the pro football player with the best off-the-field talent! vote now to decide who… https://t.co/6djwqu0mb9
139,0.0,Tue Jan 02 08:00:03 +0000 2018,1.0,0.0,0.0,@CBS,"new year, new episodes -- all week long! it kicks off with an all-new #ncis, #bull and #ncisnola tonight starting a… https://t.co/bcmaauqjtf"
140,0.0,Mon Jan 01 01:16:12 +0000 2018,1.0,0.0,0.0,@CBS,"due to #nfl football games overrun, revised start times &amp; lineup for eastern/central time zones only:
#60minutes 8:… https://t.co/rqoybm5j0h"
141,0.7798,Sun Dec 31 14:37:05 +0000 2017,0.736,0.0,0.264,@CBS,get ready for football! stream nfl on cbs today with #cbsallaccess. try 1 month free with promo code binge (not ava… https://t.co/nentvw7qhd
142,0.0,Sat Dec 30 20:25:20 +0000 2017,1.0,0.0,0.0,@CBS,"rt @noactivitycbs: all season nothing's happened. now prepare for activity. stream the #noactivity season finale sunday, dec 31 on cbs all…"
143,0.3612,Sat Dec 30 20:24:58 +0000 2017,0.884,0.0,0.116,@CBS,rt @startrekcbs: find out what happens when you boldly go too far. #startrekdiscovery continues january 7 on cbs all access: https://t.co/f…
144,0.0857,Fri Dec 29 16:06:02 +0000 2017,0.699,0.144,0.157,@CBS,stream nc state wolfpack at arizona state sun devils live today at 3pm et with a 1-month free trial of… https://t.co/8k50thgtip
145,0.1511,Thu Dec 28 20:31:01 +0000 2017,0.783,0.096,0.121,@CBS,"in case you missed this star-studded tribute to carol burnett's classic comedy series, catch up now! watch the caro… https://t.co/wu7bxm9gtm"
146,0.0,Thu Dec 28 19:28:22 +0000 2017,1.0,0.0,0.0,@CBS,some of tv's biggest stars saluted @thenormanlear's impact on television and culture at the 40th annual kennedy cen… https://t.co/e74chuw1ue
147,0.875,Wed Dec 27 22:45:05 +0000 2017,0.643,0.0,0.357,@CBS,the search is on to find the pro football player with the best off-the-field talent. vote for your favorite player… https://t.co/r0fb5ngj16
148,0.7717,Wed Dec 27 21:04:10 +0000 2017,0.705,0.0,0.295,@CBS,"celebrate everyone's favorite classic sitcom with carol burnett, vicki lawrence, and more stars during the carol bu… https://t.co/saiz9tzbvo"
149,0.8452,Wed Dec 27 19:52:02 +0000 2017,0.663,0.0,0.337,@CBS,joy to the world of streaming! try #cbsallaccess free for 1 month – just use code binge by 1/2:… https://t.co/9p1acnslz6
